Date,Mode,Category,Remark,Amount,Income_Expense,Transaction_id
21-02-2020,Mobile Wallet,Care Essentials,hair oil,298,Expense,TXN137
21-02-2020,Credit Card,Groceries,kendriya bhandar,1305,Expense,TXN138
21-02-2020,Mobile Wallet,Groceries,amul butter,155,Expense,TXN139
22-02-2020,Mobile Wallet,Miscellaneous,wedding expense,458,Expense,TXN140
22-02-2020,UPI,Rewards,promotion bonus,66,Income,TXN141
22-02-2020,Credit Card,Domestic Help,house painting,1207,Expense,TXN142
23-02-2020,Credit Card,Transportation,toll tax,721,Expense,TXN143
24-02-2020,UPI,Groceries,tea,142,Expense,TXN144
24-02-2020,UPI,Groceries,salt,192,Expense,TXN145
25-02-2020,UPI,Groceries,dry fruits,459,Expense,TXN146
26-02-2020,Credit Card,Enrichment,hobby supplies,885,Expense,TXN147
26-02-2020,Credit Card,Groceries,festival snacks,790,Expense,TXN148
26-02-2020,Debit Card,Stocks,stock dividend,618,Income,TXN149
27-02-2020,Cash,Groceries,atta,154,Expense,TXN150
27-02-2020,Cash,Groceries,dal,126,Expense,TXN151
28-02-2020,Credit Card,Education,books,3982,Expense,TXN152
28-02-2020,Mobile Wallet,Miscellaneous,wedding expense,313,Expense,TXN153
29-02-2020,Cash,Care Essentials,soap,294,Expense,TXN154
01-03-2020,UPI,Groceries,masala powders,77,Expense,TXN155
02-03-2020,Other,Pension,gratuity amount,29542,Income,TXN156
02-03-2020,Mobile Wallet,Groceries,tea,263,Expense,TXN157
02-03-2020,UPI,Rewards,app cashback,60,Income,TXN158
02-03-2020,Net Banking,Salary,overtime payment,52064,Income,TXN159
03-03-2020,Credit Card,Rent,rent received in cash,5144,Income,TXN160
03-03-2020,Cash,Groceries,fruits,147,Expense,TXN161
03-03-2020,Mobile Wallet,Groceries,ghee,228,Expense,TXN162
03-03-2020,Cash,Groceries,dry fruits,444,Expense,TXN163
05-03-2020,Cash,Groceries,non-veg items,475,Expense,TXN164
05-03-2020,Credit Card,Communication,mobile recharge,575,Expense,TXN165
06-03-2020,Credit Card,Enrichment,chess classes,821,Expense,TXN166
06-03-2020,Credit Card,Education,school supplies,1394,Expense,TXN167
06-03-2020,Debit Card,Education,school supplies,3363,Expense,TXN168
06-03-2020,Credit Card,Utilities,waste collection,594,Expense,TXN169
07-03-2020,Debit Card,Interest,savings interest,7157,Income,TXN170
07-03-2020,Net Banking,Rent,rent advance payment,11694,Expense,TXN171
08-03-2020,Mobile Wallet,Miscellaneous,courier charges,489,Expense,TXN172
08-03-2020,Credit Card,Financial Dues,personal loan EMI,6090,Expense,TXN173
08-03-2020,UPI,Groceries,ghee,256,Expense,TXN174
09-03-2020,Credit Card,Communication,cable tv bill,870,Expense,TXN175
09-03-2020,Mobile Wallet,Care Essentials,salon visit,389,Expense,TXN176
09-03-2020,Mobile Wallet,Rewards,credit card reward,51,Income,TXN177
09-03-2020,Credit Card,Education,exam fees,1601,Expense,TXN178
09-03-2020,Mobile Wallet,Groceries,dal,193,Expense,TXN179
10-03-2020,Cash,Groceries,non-veg items,398,Expense,TXN180
10-03-2020,Cash,Miscellaneous,tax refund,468,Income,TXN181
10-03-2020,Credit Card,Enrichment,musical instrument,975,Expense,TXN182
10-03-2020,Mobile Wallet,Miscellaneous,birthday expense,141,Expense,TXN183
11-03-2020,Debit Card,Enrichment,hobby supplies,881,Expense,TXN184
11-03-2020,Debit Card,Financial Dues,home loan EMI,7546,Expense,TXN185
12-03-2020,Debit Card,Communication,landline bill,948,Expense,TXN186
12-03-2020,UPI,Domestic Help,plumber,222,Expense,TXN187
12-03-2020,Mobile Wallet,Domestic Help,car cleaner,138,Expense,TXN188
12-03-2020,Debit Card,Utilities,electricity bill,679,Expense,TXN189
12-03-2020,Cash,Miscellaneous,referral bonus,248,Income,TXN190
12-03-2020,Credit Card,Utilities,gas bill,590,Expense,TXN191
12-03-2020,Cash,Groceries,biscuits,261,Expense,TXN192
13-03-2020,Credit Card,Financial Dues,personal loan EMI,6231,Expense,TXN193
13-03-2020,Cash,Care Essentials,haircut,494,Expense,TXN194
13-03-2020,Cash,Rewards,credit card reward,115,Income,TXN195
13-03-2020,Debit Card,Groceries,non-veg items,537,Expense,TXN196
13-03-2020,Debit Card,Utilities,sewer charges,705,Expense,TXN197
13-03-2020,Debit Card,Utilities,water bill,667,Expense,TXN198
14-03-2020,UPI,Domestic Help,driver salary,223,Expense,TXN199
14-03-2020,Mobile Wallet,Groceries,jam,221,Expense,TXN200
15-03-2020,Cash,Communication,DTH recharge,424,Expense,TXN201
15-03-2020,Credit Card,Communication,internet bill,785,Expense,TXN202
15-03-2020,Cash,Groceries,salt,224,Expense,TXN203
16-03-2020,Credit Card,Discretionary,dining out,629,Expense,TXN204
16-03-2020,Debit Card,Education,stationery,3393,Expense,TXN205
16-03-2020,Credit Card,Groceries,dry fruits,730,Expense,TXN206
19-03-2020,Cash,Groceries,ghee,230,Expense,TXN207
19-03-2020,Cash,Groceries,eggs,70,Expense,TXN208
19-03-2020,Mobile Wallet,Care Essentials,makeup items,353,Expense,TXN209
19-03-2020,Cash,Groceries,festival snacks,457,Expense,TXN210
20-03-2020,Mobile Wallet,Miscellaneous,referral bonus,440,Income,TXN211
21-03-2020,UPI,Groceries,buttermilk,184,Expense,TXN212
22-03-2020,UPI,Miscellaneous,postage stamps,100,Expense,TXN213
23-03-2020,Debit Card,Stocks,dividend income,1168,Income,TXN214
24-03-2020,Cash,Care Essentials,beauty products,183,Expense,TXN215
24-03-2020,Debit Card,Healthcare,thermometer,752,Expense,TXN216
25-03-2020,UPI,Discretionary,home decor,445,Expense,TXN217
25-03-2020,Debit Card,Groceries,toiletries,5563,Expense,TXN218
26-03-2020,Debit Card,Financial Dues,credit card bill,5324,Expense,TXN219
27-03-2020,UPI,Groceries,jam,205,Expense,TXN220
27-03-2020,UPI,Groceries,popcorn,192,Expense,TXN221
27-03-2020,UPI,Groceries,dry fruits,212,Expense,TXN222
28-03-2020,Credit Card,Interest,FD interest,6409,Income,TXN223
28-03-2020,UPI,Care Essentials,hair oil,451,Expense,TXN224
28-03-2020,Cash,Groceries,ice cream,215,Expense,TXN225
29-03-2020,UPI,Healthcare,antiseptic,269,Expense,TXN226
29-03-2020,Credit Card,Education,workshop fees,2884,Expense,TXN227
29-03-2020,Credit Card,Stocks,dividend income,1163,Income,TXN228
30-03-2020,Credit Card,Healthcare,BP monitor,702,Expense,TXN229
30-03-2020,Credit Card,Transportation,metro card recharge,976,Expense,TXN230
30-03-2020,Credit Card,Financial Dues,late payment fees,7770,Expense,TXN231
01-04-2020,Credit Card,Enrichment,chess classes,885,Expense,TXN232
01-04-2020,Credit Card,Stocks,securities profit,976,Income,TXN233
02-04-2020,Mobile Wallet,Groceries,ghee,296,Expense,TXN234
02-04-2020,Mobile Wallet,Miscellaneous,emergency expense,369,Expense,TXN235
03-04-2020,Net Banking,Salary,bonus payment,53356,Income,TXN236
03-04-2020,Credit Card,Financial Dues,personal loan EMI,6548,Expense,TXN237
04-04-2020,UPI,Groceries,chocolate,95,Expense,TXN238
05-04-2020,Credit Card,Utilities,water bill,766,Expense,TXN239
05-04-2020,Other,Rent,maintenance charges,13669,Expense,TXN240
05-04-2020,Mobile Wallet,Groceries,non-veg items,250,Expense,TXN241
06-04-2020,Credit Card,Rent,rent received in cash,5654,Income,TXN242
06-04-2020,UPI,Groceries,oats,84,Expense,TXN243
06-04-2020,Automatic Payment,Pension,government pension,21533,Income,TXN244
06-04-2020,UPI,Transportation,oil change,256,Expense,TXN245
07-04-2020,Credit Card,Communication,landline bill,954,Expense,TXN246
07-04-2020,Credit Card,Utilities,sewer charges,694,Expense,TXN247
07-04-2020,Debit Card,Utilities,waste collection,707,Expense,TXN248
08-04-2020,Credit Card,Utilities,gas bill,505,Expense,TXN249
08-04-2020,Cash,Miscellaneous,unexpected repairs,414,Expense,TXN250
09-04-2020,UPI,Groceries,atta,152,Expense,TXN251
10-04-2020,UPI,Groceries,chips,137,Expense,TXN252
10-04-2020,Credit Card,Education,exam fees,5374,Expense,TXN253
11-04-2020,Debit Card,Financial Dues,late payment fees,4886,Expense,TXN254
11-04-2020,Credit Card,Communication,internet bill,622,Expense,TXN255
12-04-2020,Debit Card,Education,workshop fees,3039,Expense,TXN256
12-04-2020,Cash,Communication,cable tv bill,364,Expense,TXN257
12-04-2020,UPI,Care Essentials,spa,200,Expense,TXN258
12-04-2020,Cash,Miscellaneous,rebate amount,293,Income,TXN259
12-04-2020,Cash,Groceries,festival snacks,337,Expense,TXN260
13-04-2020,Debit Card,Communication,DTH recharge,913,Expense,TXN261
13-04-2020,Cash,Groceries,snacks,250,Expense,TXN262
13-04-2020,Mobile Wallet,Miscellaneous,referral bonus,359,Income,TXN263
14-04-2020,Credit Card,Education,online course,2085,Expense,TXN264
14-04-2020,Mobile Wallet,Groceries,dry fruits,231,Expense,TXN265
15-04-2020,Debit Card,Communication,mobile recharge,700,Expense,TXN266
15-04-2020,Cash,Miscellaneous,courier charges,264,Expense,TXN267
15-04-2020,Cash,Rewards,survey reward,101,Income,TXN268
15-04-2020,Credit Card,Education,school supplies,9892,Expense,TXN269
15-04-2020,Debit Card,Utilities,electricity bill,702,Expense,TXN270
15-04-2020,Debit Card,Financial Dues,insurance premium,4955,Expense,TXN271
15-04-2020,Credit Card,Interest,dividend income,5559,Income,TXN272
15-04-2020,Credit Card,Groceries,festival stuff,3481,Expense,TXN273
16-04-2020,Mobile Wallet,Groceries,festival snacks,484,Expense,TXN274
16-04-2020,UPI,Groceries,veggies,291,Expense,TXN275
17-04-2020,Mobile Wallet,Groceries,jam,273,Expense,TXN276
18-04-2020,UPI,Groceries,dry fruits,398,Expense,TXN277
19-04-2020,Debit Card,Financial Dues,home loan EMI,3920,Expense,TXN278
19-04-2020,Debit Card,Healthcare,health checkup,893,Expense,TXN279
19-04-2020,Credit Card,Domestic Help,car cleaner,975,Expense,TXN280
19-04-2020,Debit Card,Enrichment,art supplies,943,Expense,TXN281
20-04-2020,Credit Card,Education,stationery,4574,Expense,TXN282
20-04-2020,Mobile Wallet,Miscellaneous,expense reimbursement,476,Income,TXN283
20-04-2020,UPI,Care Essentials,moisturizer,343,Expense,TXN284
21-04-2020,Debit Card,Domestic Help,watchman tip,530,Expense,TXN285
21-04-2020,UPI,Groceries,milk,200,Expense,TXN286
21-04-2020,Cash,Rewards,reward redemption,54,Income,TXN287
21-04-2020,UPI,Rewards,referral bonus,96,Income,TXN288
22-04-2020,Debit Card,Interest,bond interest,8861,Income,TXN289
22-04-2020,Credit Card,Groceries,non-veg items,682,Expense,TXN290
22-04-2020,Mobile Wallet,Groceries,bread,78,Expense,TXN291
23-04-2020,Cash,Healthcare,medicines,105,Expense,TXN292
23-04-2020,Cash,Care Essentials,spa,306,Expense,TXN293
23-04-2020,Cash,Groceries,non-veg items,317,Expense,TXN294
23-04-2020,Cash,Groceries,salt,157,Expense,TXN295
24-04-2020,Mobile Wallet,Groceries,yogurt,72,Expense,TXN296
25-04-2020,UPI,Groceries,oats,144,Expense,TXN297
26-04-2020,Credit Card,Healthcare,health checkup,502,Expense,TXN298
27-04-2020,UPI,Care Essentials,toothpaste,363,Expense,TXN299
27-04-2020,Debit Card,Stocks,capital gain,1720,Income,TXN300
28-04-2020,Credit Card,Domestic Help,plumber,521,Expense,TXN301
28-04-2020,Debit Card,Enrichment,sports equipment,940,Expense,TXN302
28-04-2020,Credit Card,Discretionary,home decor,843,Expense,TXN303
29-04-2020,Credit Card,Discretionary,vacation,706,Expense,TXN304
29-04-2020,Credit Card,Financial Dues,education loan EMI,6108,Expense,TXN305
29-04-2020,UPI,Care Essentials,sunscreen,363,Expense,TXN306
01-05-2020,Debit Card,Groceries,non-veg items,652,Expense,TXN307
01-05-2020,Bank Transfer,Salary,salary credit,54092,Income,TXN308
01-05-2020,Credit Card,Education,stationery,6619,Expense,TXN309
01-05-2020,Mobile Wallet,Groceries,veggies,128,Expense,TXN310
01-05-2020,Cash,Care Essentials,toothpaste,324,Expense,TXN311
02-05-2020,Mobile Wallet,Groceries,ice cream,229,Expense,TXN312
02-05-2020,Credit Card,Stocks,securities profit,840,Income,TXN313
02-05-2020,Cash,Groceries,buns,114,Expense,TXN314
02-05-2020,Debit Card,Rent,rent received in cash,5382,Income,TXN315
03-05-2020,Debit Card,Financial Dues,investment deposit,3063,Expense,TXN316
03-05-2020,Credit Card,Discretionary,gaming,811,Expense,TXN317
04-05-2020,Debit Card,Healthcare,first aid,894,Expense,TXN318
04-05-2020,Mobile Wallet,Groceries,jam,294,Expense,TXN319
04-05-2020,Credit Card,Enrichment,chess classes,971,Expense,TXN320
05-05-2020,Debit Card,Communication,internet bill,563,Expense,TXN321
05-05-2020,Credit Card,Utilities,electricity bill,631,Expense,TXN322
05-05-2020,Credit Card,Utilities,water bill,675,Expense,TXN323
06-05-2020,UPI,Transportation,metro card recharge,446,Expense,TXN324
06-05-2020,Credit Card,Utilities,waste collection,698,Expense,TXN325
06-05-2020,Other,Pension,provident fund,24697,Income,TXN326
06-05-2020,Credit Card,Utilities,sewer charges,603,Expense,TXN327
06-05-2020,Cheque,Rent,security deposit for flat,17451,Expense,TXN328
06-05-2020,Debit Card,Interest,FD interest,6498,Income,TXN329
07-05-2020,Credit Card,Communication,DTH recharge,929,Expense,TXN330
09-05-2020,Mobile Wallet,Care Essentials,deodorant,151,Expense,TXN331
09-05-2020,Debit Card,Education,tuition fees,4960,Expense,TXN332
09-05-2020,Cash,Miscellaneous,emergency expense,299,Expense,TXN333
09-05-2020,UPI,Miscellaneous,contest winning,336,Income,TXN334
09-05-2020,Cash,Groceries,spices,162,Expense,TXN335
09-05-2020,Debit Card,Communication,landline bill,665,Expense,TXN336
10-05-2020,Mobile Wallet,Groceries,festival snacks,326,Expense,TXN337
10-05-2020,Cash,Miscellaneous,survey incentive,94,Income,TXN338
10-05-2020,UPI,Groceries,buns,258,Expense,TXN339
10-05-2020,Mobile Wallet,Care Essentials,sunscreen,270,Expense,TXN340
10-05-2020,Cash,Groceries,non-veg items,283,Expense,TXN341
11-05-2020,Debit Card,Domestic Help,gardener,1185,Expense,TXN342
11-05-2020,Debit Card,Domestic Help,plumber,789,Expense,TXN343
11-05-2020,UPI,Rewards,cashback,96,Income,TXN344
11-05-2020,Debit Card,Enrichment,magazine subscription,969,Expense,TXN345
11-05-2020,Debit Card,Utilities,gas bill,783,Expense,TXN346
12-05-2020,Credit Card,Communication,mobile recharge,839,Expense,TXN347
12-05-2020,Debit Card,Financial Dues,PPF deposit,6862,Expense,TXN348
12-05-2020,Mobile Wallet,Rewards,survey reward,59,Income,TXN349
14-05-2020,UPI,Groceries,ghee,195,Expense,TXN350
14-05-2020,UPI,Miscellaneous,birthday expense,111,Expense,TXN351
14-05-2020,Mobile Wallet,Communication,cable tv bill,383,Expense,TXN352
15-05-2020,Debit Card,Healthcare,blood test,968,Expense,TXN353
15-05-2020,UPI,Miscellaneous,expense reimbursement,174,Income,TXN354
16-05-2020,Debit Card,Groceries,non-veg items,545,Expense,TXN355
16-05-2020,Credit Card,Enrichment,hobby supplies,843,Expense,TXN356
16-05-2020,Cash,Groceries,cornflakes,91,Expense,TXN357
17-05-2020,Debit Card,Education,online course,765,Expense,TXN358
17-05-2020,UPI,Groceries,dal,66,Expense,TXN359
18-05-2020,Mobile Wallet,Miscellaneous,membership fees,210,Expense,TXN360
18-05-2020,Debit Card,Groceries,cleaning supplies,1630,Expense,TXN361
19-05-2020,Cash,Groceries,curd,90,Expense,TXN362
19-05-2020,Mobile Wallet,Groceries,non-veg items,323,Expense,TXN363
20-05-2020,Cash,Groceries,veggies,274,Expense,TXN364
21-05-2020,Debit Card,Stocks,stock profit,1733,Income,TXN365
22-05-2020,UPI,Groceries,ice cream,170,Expense,TXN366
23-05-2020,Cash,Groceries,jam,117,Expense,TXN367
24-05-2020,Debit Card,Healthcare,dermatologist,537,Expense,TXN368
25-05-2020,UPI,Care Essentials,shaving kit,469,Expense,TXN369
26-05-2020,Debit Card,Education,uniform,6803,Expense,TXN370
27-05-2020,Credit Card,Education,project materials,7998,Expense,TXN371
27-05-2020,Cash,Groceries,festival snacks,253,Expense,TXN372
27-05-2020,Cash,Rewards,credit card reward,52,Income,TXN373
28-05-2020,Mobile Wallet,Groceries,spices,273,Expense,TXN374
28-05-2020,UPI,Groceries,dry fruits,462,Expense,TXN375
28-05-2020,Cash,Discretionary,gaming,321,Expense,TXN376
30-05-2020,Debit Card,Financial Dues,car loan EMI,4409,Expense,TXN377
30-05-2020,Credit Card,Financial Dues,car loan EMI,8256,Expense,TXN378
30-05-2020,UPI,Care Essentials,baby care items,185,Expense,TXN379
30-05-2020,Debit Card,Interest,mutual fund interest,5453,Income,TXN380
31-05-2020,Debit Card,Domestic Help,laundry service,884,Expense,TXN381
31-05-2020,Credit Card,Financial Dues,tax payment,8848,Expense,TXN382
01-06-2020,Bank Transfer,Salary,salary credit,54353,Income,TXN383
01-06-2020,Cash,Groceries,ghee,298,Expense,TXN384
01-06-2020,Other,Rent,rent advance payment,13369,Expense,TXN385
02-06-2020,UPI,Groceries,buttermilk,149,Expense,TXN386
02-06-2020,Debit Card,Enrichment,dance class,986,Expense,TXN387
02-06-2020,Debit Card,Stocks,mutual fund profit,1565,Income,TXN388
03-06-2020,Credit Card,Rent,rent received from tenant,5098,Income,TXN389
03-06-2020,Bank Transfer,Pension,pension credit,22879,Income,TXN390
03-06-2020,Mobile Wallet,Care Essentials,beauty products,394,Expense,TXN391
03-06-2020,Debit Card,Groceries,dry fruits,607,Expense,TXN392
04-06-2020,Cash,Groceries,snacks,66,Expense,TXN393
04-06-2020,Credit Card,Domestic Help,plumber,1434,Expense,TXN394
05-06-2020,UPI,Rewards,survey reward,181,Income,TXN395
05-06-2020,Cash,Groceries,dry fruits,427,Expense,TXN396
05-06-2020,Credit Card,Utilities,sewer charges,581,Expense,TXN397
06-06-2020,Mobile Wallet,Care Essentials,baby care items,431,Expense,TXN398
07-06-2020,Mobile Wallet,Discretionary,vacation,433,Expense,TXN399
07-06-2020,Mobile Wallet,Groceries,coffee,250,Expense,TXN400
08-06-2020,Debit Card,Communication,DTH recharge,573,Expense,TXN401
08-06-2020,Cash,Miscellaneous,insurance claim,391,Income,TXN402
