Date,Mode,Category,Remark,Amount,Income_Expense,Transaction_id
12-01-2020,UPI,Groceries,non-veg items,347,Expense,TXN39
13-01-2020,Credit Card,Communication,mobile recharge,889,Expense,TXN40
13-01-2020,Debit Card,Domestic Help,dry cleaning,1493,Expense,TXN41
14-01-2020,UPI,Groceries,dal,90,Expense,TXN42
14-01-2020,Debit Card,Utilities,sewer charges,998,Expense,TXN43
14-01-2020,Debit Card,Utilities,waste collection,532,Expense,TXN44
15-01-2020,Debit Card,Communication,internet bill,777,Expense,TXN45
15-01-2020,Mobile Wallet,Groceries,ghee,123,Expense,TXN46
15-01-2020,Debit Card,Domestic Help,babysitter,1359,Expense,TXN47
15-01-2020,Cash,Healthcare,eye checkup,338,Expense,TXN48
15-01-2020,UPI,Communication,landline bill,472,Expense,TXN49
15-01-2020,Debit Card,Utilities,gas bill,580,Expense,TXN50
16-01-2020,Mobile Wallet,Rewards,reward redemption,188,Income,TXN51
16-01-2020,Debit Card,Financial Dues,credit card bill,6314,Expense,TXN52
16-01-2020,Cash,Miscellaneous,contest winning,439,Income,TXN53
17-01-2020,Credit Card,Groceries,non-veg items,613,Expense,TXN54
18-01-2020,Debit Card,Education,books,9024,Expense,TXN55
18-01-2020,UPI,Groceries,ghee,81,Expense,TXN56
19-01-2020,Debit Card,Groceries,amazon fresh order,1844,Expense,TXN57
19-01-2020,Mobile Wallet,Groceries,spices,265,Expense,TXN58
19-01-2020,Mobile Wallet,Groceries,yogurt,252,Expense,TXN59
20-01-2020,Debit Card,Gifts,wedding gift,710,Income,TXN60
20-01-2020,Credit Card,Groceries,festival snacks,706,Expense,TXN61
22-01-2020,Credit Card,Stocks,equity sale,1106,Income,TXN62
22-01-2020,Debit Card,Interest,recurring deposit,5774,Income,TXN63
22-01-2020,Credit Card,Financial Dues,gold loan EMI,9873,Expense,TXN64
24-01-2020,Debit Card,Domestic Help,plumber,1066,Expense,TXN65
24-01-2020,Debit Card,Healthcare,supplements,772,Expense,TXN66
24-01-2020,Mobile Wallet,Rewards,app cashback,59,Income,TXN67
26-01-2020,Cash,Miscellaneous,courier charges,435,Expense,TXN68
27-01-2020,Credit Card,Education,school supplies,2377,Expense,TXN69
27-01-2020,Cash,Groceries,curd,61,Expense,TXN70
28-01-2020,UPI,Groceries,tea,145,Expense,TXN71
28-01-2020,Debit Card,Groceries,dry fruits,683,Expense,TXN72
28-01-2020,Credit Card,Stocks,dividend income,603,Income,TXN73
28-01-2020,Cash,Groceries,buttermilk,296,Expense,TXN74
29-01-2020,Cash,Transportation,battery replacement,459,Expense,TXN75
30-01-2020,UPI,Miscellaneous,contest winning,125,Income,TXN76
01-02-2020,Net Banking,Pension,annuity payment,41508,Income,TXN77
01-02-2020,Mobile Wallet,Groceries,buns,205,Expense,TXN78
01-02-2020,Mobile Wallet,Groceries,curd,184,Expense,TXN79
02-02-2020,Cash,Discretionary,theme park,399,Expense,TXN80
02-02-2020,UPI,Groceries,non-veg items,222,Expense,TXN81
02-02-2020,Other,Salary,incentive,66717,Income,TXN82
03-02-2020,Automatic Payment,Rent,lease amount,13349,Expense,TXN83
03-02-2020,Cash,Groceries,coffee,283,Expense,TXN84
03-02-2020,Cash,Groceries,masala powders,238,Expense,TXN85
04-02-2020,Debit Card,Rent,security deposit received,6187,Income,TXN86
04-02-2020,Debit Card,Healthcare,BP monitor,885,Expense,TXN87
05-02-2020,UPI,Communication,landline bill,287,Expense,TXN88
05-02-2020,Mobile Wallet,Groceries,dry fruits,267,Expense,TXN89
05-02-2020,UPI,Care Essentials,shampoo,118,Expense,TXN90
05-02-2020,UPI,Communication,mobile recharge,292,Expense,TXN91
06-02-2020,Debit Card,Healthcare,sanitary pads,804,Expense,TXN92
06-02-2020,Mobile Wallet,Care Essentials,toothpaste,214,Expense,TXN93
07-02-2020,Credit Card,Enrichment,yoga classes,939,Expense,TXN94
07-02-2020,Debit Card,Communication,internet bill,664,Expense,TXN95
07-02-2020,Debit Card,Enrichment,art supplies,933,Expense,TXN96
08-02-2020,Credit Card,Utilities,electricity bill,512,Expense,TXN97
08-02-2020,Debit Card,Transportation,oil change,835,Expense,TXN98
09-02-2020,UPI,Miscellaneous,security refund,85,Income,TXN99
09-02-2020,Cash,Miscellaneous,expense reimbursement,268,Income,TXN100
09-02-2020,Debit Card,Utilities,waste collection,676,Expense,TXN101
10-02-2020,Credit Card,Utilities,water bill,653,Expense,TXN102
10-02-2020,Debit Card,Communication,cable tv bill,783,Expense,TXN103
10-02-2020,Mobile Wallet,Groceries,buttermilk,89,Expense,TXN104
10-02-2020,Debit Card,Domestic Help,gardener,502,Expense,TXN105
10-02-2020,Credit Card,Education,coaching fees,2932,Expense,TXN106
11-02-2020,UPI,Groceries,dry fruits,225,Expense,TXN107
11-02-2020,Credit Card,Utilities,gas bill,664,Expense,TXN108
11-02-2020,Credit Card,Communication,DTH recharge,685,Expense,TXN109
12-02-2020,Debit Card,Stocks,mutual fund profit,1630,Income,TXN110
12-02-2020,Mobile Wallet,Groceries,milk,217,Expense,TXN111
13-02-2020,Cash,Rewards,promotion bonus,192,Income,TXN112
13-02-2020,Mobile Wallet,Groceries,buttermilk,203,Expense,TXN113
14-02-2020,Debit Card,Financial Dues,gold loan EMI,6605,Expense,TXN114
14-02-2020,UPI,Rewards,cashback,81,Income,TXN115
14-02-2020,Debit Card,Interest,treasury yield,6654,Income,TXN116
15-02-2020,Credit Card,Domestic Help,maid fees,719,Expense,TXN117
15-02-2020,UPI,Miscellaneous,postage stamps,122,Expense,TXN118
15-02-2020,Mobile Wallet,Miscellaneous,survey incentive,388,Income,TXN119
15-02-2020,Debit Card,Discretionary,clothing,841,Expense,TXN120
15-02-2020,Debit Card,Utilities,sewer charges,991,Expense,TXN121
16-02-2020,Mobile Wallet,Groceries,cornflakes,136,Expense,TXN122
16-02-2020,Credit Card,Financial Dues,retirement fund,3952,Expense,TXN123
17-02-2020,Credit Card,Groceries,kendriya bhandar,4526,Expense,TXN124
17-02-2020,Mobile Wallet,Care Essentials,beauty products,417,Expense,TXN125
17-02-2020,Mobile Wallet,Groceries,tea,272,Expense,TXN126
17-02-2020,Credit Card,Groceries,dry fruits,609,Expense,TXN127
18-02-2020,Credit Card,Stocks,IPO allotment,1700,Income,TXN128
19-02-2020,Mobile Wallet,Groceries,coffee,118,Expense,TXN129
20-02-2020,Cash,Groceries,tea,285,Expense,TXN130
20-02-2020,Debit Card,Financial Dues,late payment fees,8148,Expense,TXN131
21-02-2020,Cash,Care Essentials,pet food,137,Expense,TXN132
22-02-2020,UPI,Groceries,jam,156,Expense,TXN133
22-02-2020,Cash,Groceries,milk,133,Expense,TXN134
22-02-2020,Credit Card,Education,school supplies,5527,Expense,TXN135
22-02-2020,Debit Card,Enrichment,magazine subscription,981,Expense,TXN136
22-02-2020,Credit Card,Education,workshop fees,9385,Expense,TXN137
22-02-2020,Cash,Care Essentials,sunscreen,190,Expense,TXN138
23-02-2020,Mobile Wallet,Education,project materials,125,Expense,TXN139
23-02-2020,Credit Card,Interest,bond interest,8532,Income,TXN140
24-02-2020,Debit Card,Education,online course,7656,Expense,TXN141
25-02-2020,Mobile Wallet,Miscellaneous,postage stamps,249,Expense,TXN142
25-02-2020,Debit Card,Financial Dues,retirement fund,3751,Expense,TXN143
26-02-2020,Cash,Groceries,non-veg items,293,Expense,TXN144
26-02-2020,Debit Card,Domestic Help,dry cleaning,912,Expense,TXN145
26-02-2020,Cash,Groceries,chocolate,113,Expense,TXN146
26-02-2020,Mobile Wallet,Healthcare,vitamins,340,Expense,TXN147
27-02-2020,UPI,Groceries,yogurt,90,Expense,TXN148
28-02-2020,Debit Card,Groceries,non-veg items,730,Expense,TXN149
28-02-2020,Cash,Rewards,promotion bonus,107,Income,TXN150
29-02-2020,Mobile Wallet,Miscellaneous,membership fees,242,Expense,TXN151
29-02-2020,Credit Card,Financial Dues,bank charges,8884,Expense,TXN152
01-03-2020,Debit Card,Rent,rent received in cash,6008,Income,TXN153
02-03-2020,Cash,Care Essentials,baby care items,217,Expense,TXN154
02-03-2020,Mobile Wallet,Rewards,credit card reward,169,Income,TXN155
03-03-2020,Debit Card,Financial Dues,credit card bill,2948,Expense,TXN156
03-03-2020,Credit Card,Education,online course,3402,Expense,TXN157
03-03-2020,Cheque,Pension,family pension,46612,Income,TXN158
03-03-2020,Cheque,Salary,annual bonus,61424,Income,TXN159
04-03-2020,Mobile Wallet,Rewards,survey reward,153,Income,TXN160
04-03-2020,Net Banking,Rent,lease amount,11365,Expense,TXN161
04-03-2020,Cash,Miscellaneous,document fees,144,Expense,TXN162
05-03-2020,Credit Card,Enrichment,gym membership,850,Expense,TXN163
05-03-2020,Debit Card,Financial Dues,personal loan EMI,8489,Expense,TXN164
05-03-2020,Credit Card,Groceries,non-veg items,778,Expense,TXN165
05-03-2020,Mobile Wallet,Groceries,milk,277,Expense,TXN166
05-03-2020,Mobile Wallet,Groceries,oats,57,Expense,TXN167
06-03-2020,UPI,Communication,DTH recharge,393,Expense,TXN168
06-03-2020,Debit Card,Transportation,puncture repair,969,Expense,TXN169
06-03-2020,Cash,Miscellaneous,expense reimbursement,84,Income,TXN170
07-03-2020,Debit Card,Communication,internet bill,590,Expense,TXN171
07-03-2020,Mobile Wallet,Groceries,buns,280,Expense,TXN172
07-03-2020,Debit Card,Enrichment,musical instrument,948,Expense,TXN173
09-03-2020,Cash,Miscellaneous,fine payment,87,Expense,TXN174
09-03-2020,Credit Card,Utilities,waste collection,941,Expense,TXN175
09-03-2020,Net Banking,Education,coaching fees,11397,Expense,TXN176
09-03-2020,Cash,Groceries,salt,165,Expense,TXN177
09-03-2020,Mobile Wallet,Communication,landline bill,472,Expense,TXN178
09-03-2020,Credit Card,Communication,cable tv bill,645,Expense,TXN179
10-03-2020,Debit Card,Education,workshop fees,7152,Expense,TXN180
10-03-2020,UPI,Groceries,snacks,240,Expense,TXN181
10-03-2020,Debit Card,Discretionary,concert tickets,992,Expense,TXN182
10-03-2020,Credit Card,Utilities,gas bill,926,Expense,TXN183
10-03-2020,Debit Card,Groceries,dry fruits,547,Expense,TXN184
10-03-2020,UPI,Groceries,atta,288,Expense,TXN185
10-03-2020,UPI,Communication,mobile recharge,223,Expense,TXN186
10-03-2020,Mobile Wallet,Miscellaneous,tax refund,154,Income,TXN187
10-03-2020,UPI,Groceries,chips,132,Expense,TXN188
11-03-2020,UPI,Care Essentials,deodorant,486,Expense,TXN189
12-03-2020,Debit Card,Utilities,electricity bill,718,Expense,TXN190
12-03-2020,Cash,Domestic Help,babysitter,351,Expense,TXN191
12-03-2020,Debit Card,Utilities,sewer charges,785,Expense,TXN192
13-03-2020,Debit Card,Stocks,mutual fund profit,1251,Income,TXN193
13-03-2020,Credit Card,Financial Dues,PPF deposit,2593,Expense,TXN194
14-03-2020,Debit Card,Education,workshop fees,5342,Expense,TXN195
14-03-2020,Credit Card,Interest,savings interest,7723,Income,TXN196
14-03-2020,Debit Card,Utilities,water bill,904,Expense,TXN197
14-03-2020,UPI,Miscellaneous,security refund,360,Income,TXN198
15-03-2020,Debit Card,Stocks,share market gain,1397,Income,TXN199
15-03-2020,Cash,Groceries,atta,58,Expense,TXN200
16-03-2020,Mobile Wallet,Groceries,jam,67,Expense,TXN201
17-03-2020,UPI,Healthcare,sanitary pads,111,Expense,TXN202
17-03-2020,Credit Card,Domestic Help,home repair,936,Expense,TXN203
18-03-2020,Mobile Wallet,Groceries,non-veg items,319,Expense,TXN204
19-03-2020,Mobile Wallet,Miscellaneous,subscription,77,Expense,TXN205
19-03-2020,UPI,Groceries,bread,300,Expense,TXN206
19-03-2020,UPI,Care Essentials,sunscreen,288,Expense,TXN207
20-03-2020,Mobile Wallet,Groceries,non-veg items,346,Expense,TXN208
20-03-2020,Credit Card,Financial Dues,investment deposit,8326,Expense,TXN209
21-03-2020,Mobile Wallet,Groceries,curd,168,Expense,TXN210
21-03-2020,Debit Card,Healthcare,bandages,737,Expense,TXN211
21-03-2020,Credit Card,Education,library fees,6778,Expense,TXN212
21-03-2020,Cash,Care Essentials,beauty products,141,Expense,TXN213
23-03-2020,Mobile Wallet,Groceries,chocolate,217,Expense,TXN214
23-03-2020,UPI,Groceries,buns,225,Expense,TXN215
23-03-2020,Cash,Care Essentials,baby care items,151,Expense,TXN216
23-03-2020,Credit Card,Groceries,cleaning supplies,3646,Expense,TXN217
24-03-2020,Credit Card,Enrichment,musical instrument,863,Expense,TXN218
24-03-2020,UPI,Rewards,promotion bonus,188,Income,TXN219
25-03-2020,Debit Card,Discretionary,entertainment,504,Expense,TXN220
27-03-2020,UPI,Healthcare,antiseptic,195,Expense,TXN221
27-03-2020,Cash,Domestic Help,laundry service,372,Expense,TXN222
28-03-2020,Cash,Groceries,milk,205,Expense,TXN223
28-03-2020,Debit Card,Groceries,non-veg items,670,Expense,TXN224
28-03-2020,Credit Card,Groceries,non-veg items,560,Expense,TXN225
30-03-2020,Credit Card,Interest,dividend income,9133,Income,TXN226
31-03-2020,Credit Card,Financial Dues,late payment fees,5822,Expense,TXN227
01-04-2020,UPI,Groceries,chocolate,137,Expense,TXN228
02-04-2020,Credit Card,Rent,advance rent received,7886,Income,TXN229
02-04-2020,Debit Card,Enrichment,sports equipment,959,Expense,TXN230
02-04-2020,Credit Card,Enrichment,art classes,952,Expense,TXN231
02-04-2020,UPI,Groceries,amul butter,159,Expense,TXN232
02-04-2020,Debit Card,Education,college fees,7095,Expense,TXN233
02-04-2020,Cash,Miscellaneous,referral bonus,380,Income,TXN234
02-04-2020,Automatic Payment,Pension,annuity payment,47865,Income,TXN235
03-04-2020,UPI,Groceries,non-veg items,208,Expense,TXN236
03-04-2020,Cash,Rewards,credit card reward,163,Income,TXN237
03-04-2020,Cheque,Salary,commission,74950,Income,TXN238
04-04-2020,UPI,Groceries,chutney,213,Expense,TXN239
05-04-2020,UPI,Domestic Help,carpenter,442,Expense,TXN240
05-04-2020,Cash,Groceries,bread,241,Expense,TXN241
05-04-2020,Debit Card,Communication,DTH recharge,778,Expense,TXN242
06-04-2020,Bank Transfer,Rent,security deposit for flat,13019,Expense,TXN243
06-04-2020,Debit Card,Communication,cable tv bill,621,Expense,TXN244
06-04-2020,Debit Card,Communication,landline bill,899,Expense,TXN245
06-04-2020,Mobile Wallet,Domestic Help,gardener,345,Expense,TXN246
07-04-2020,Credit Card,Financial Dues,retirement fund,8827,Expense,TXN247
08-04-2020,Credit Card,Utilities,gas bill,786,Expense,TXN248
08-04-2020,UPI,Miscellaneous,fine payment,136,Expense,TXN249
08-04-2020,Debit Card,Financial Dues,retirement fund,6575,Expense,TXN250
09-04-2020,Cash,Care Essentials,salon visit,202,Expense,TXN251
09-04-2020,Debit Card,Interest,recurring deposit,9837,Income,TXN252
09-04-2020,Cash,Groceries,dry fruits,477,Expense,TXN253
09-04-2020,Credit Card,Discretionary,movie tickets,653,Expense,TXN254
09-04-2020,Debit Card,Stocks,IPO allotment,685,Income,TXN255
10-04-2020,Debit Card,Utilities,water bill,666,Expense,TXN256
11-04-2020,UPI,Groceries,curd,129,Expense,TXN257
11-04-2020,Cash,Groceries,sugar,240,Expense,TXN258
11-04-2020,Mobile Wallet,Groceries,cornflakes,174,Expense,TXN259
11-04-2020,Debit Card,Healthcare,supplements,838,Expense,TXN260
11-04-2020,Debit Card,Education,project materials,9783,Expense,TXN261
11-04-2020,Credit Card,Utilities,sewer charges,693,Expense,TXN262
11-04-2020,Debit Card,Utilities,waste collection,522,Expense,TXN263
12-04-2020,Credit Card,Communication,mobile recharge,972,Expense,TXN264
12-04-2020,Credit Card,Utilities,electricity bill,966,Expense,TXN265
12-04-2020,Credit Card,Stocks,share market gain,1686,Income,TXN266
13-04-2020,UPI,Groceries,tea,264,Expense,TXN267
13-04-2020,Debit Card,Communication,internet bill,972,Expense,TXN268
15-04-2020,Credit Card,Enrichment,musical instrument,939,Expense,TXN269
15-04-2020,Mobile Wallet,Groceries,veggies,180,Expense,TXN270
16-04-2020,Mobile Wallet,Care Essentials,moisturizer,193,Expense,TXN271
17-04-2020,Credit Card,Interest,certificate deposit,9567,Income,TXN272
18-04-2020,Mobile Wallet,Groceries,non-veg items,375,Expense,TXN273
18-04-2020,UPI,Care Essentials,deodorant,130,Expense,TXN274
19-04-2020,Debit Card,Financial Dues,insurance premium,7112,Expense,TXN275
19-04-2020,Credit Card,Domestic Help,watchman tip,1055,Expense,TXN276
20-04-2020,UPI,Groceries,salt,186,Expense,TXN277
21-04-2020,Cash,Groceries,chips,266,Expense,TXN278
21-04-2020,UPI,Miscellaneous,tax refund,189,Income,TXN279
21-04-2020,Bank Transfer,Education,online course,14962,Expense,TXN280
22-04-2020,Cash,Groceries,jam,202,Expense,TXN281
22-04-2020,Mobile Wallet,Miscellaneous,rebate amount,333,Income,TXN282
22-04-2020,Mobile Wallet,Miscellaneous,document fees,374,Expense,TXN283
23-04-2020,Debit Card,Financial Dues,insurance premium,5655,Expense,TXN284
23-04-2020,Debit Card,Financial Dues,insurance premium,2176,Expense,TXN285
24-04-2020,UPI,Rewards,app cashback,171,Income,TXN286
24-04-2020,Credit Card,Groceries,kitchen items,3985,Expense,TXN287
24-04-2020,Debit Card,Healthcare,first aid,854,Expense,TXN288
24-04-2020,UPI,Groceries,ghee,83,Expense,TXN289
25-04-2020,Cash,Groceries,spices,225,Expense,TXN290
25-04-2020,UPI,Miscellaneous,document fees,154,Expense,TXN291
25-04-2020,Cash,Groceries,non-veg items,287,Expense,TXN292
25-04-2020,Credit Card,Groceries,festival snacks,788,Expense,TXN293
27-04-2020,Cash,Groceries,buns,240,Expense,TXN294
28-04-2020,Mobile Wallet,Rewards,wallet cashback,195,Income,TXN295
28-04-2020,Cash,Care Essentials,haircut,348,Expense,TXN296
28-04-2020,Credit Card,Education,books,9300,Expense,TXN297
28-04-2020,Net Banking,Education,project materials,14317,Expense,TXN298
28-04-2020,Debit Card,Transportation,bike service,502,Expense,TXN299
28-04-2020,UPI,Healthcare,dentist,349,Expense,TXN300
29-04-2020,Mobile Wallet,Care Essentials,salon visit,460,Expense,TXN301
30-04-2020,Debit Card,Discretionary,gaming,796,Expense,TXN302
01-05-2020,Debit Card,Financial Dues,personal loan EMI,4186,Expense,TXN303
01-05-2020,Automatic Payment,Pension,pension fund,44299,Income,TXN304
01-05-2020,Cash,Rewards,discount voucher,95,Income,TXN305
01-05-2020,Cash,Groceries,buttermilk,299,Expense,TXN306
02-05-2020,Debit Card,Enrichment,art classes,863,Expense,TXN307
02-05-2020,Credit Card,Interest,post office interest,6976,Income,TXN308
02-05-2020,Credit Card,Transportation,bike service,768,Expense,TXN309
02-05-2020,Credit Card,Rent,late rent penalty received,5701,Income,TXN310
03-05-2020,Credit Card,Discretionary,clothing,793,Expense,TXN311
03-05-2020,UPI,Miscellaneous,legal fees,289,Expense,TXN312
04-05-2020,Other,Education,stationery,12807,Expense,TXN313
04-05-2020,Other,Salary,incentive,64311,Income,TXN314
05-05-2020,Cash,Healthcare,medicines,422,Expense,TXN315
05-05-2020,Mobile Wallet,Groceries,eggs,212,Expense,TXN316
06-05-2020,Debit Card,Utilities,water bill,738,Expense,TXN317
06-05-2020,Credit Card,Groceries,dry fruits,585,Expense,TXN318
06-05-2020,Automatic Payment,Rent,rent advance payment,12923,Expense,TXN319
06-05-2020,UPI,Miscellaneous,tax refund,353,Income,TXN320
06-05-2020,Cash,Groceries,popcorn,79,Expense,TXN321
07-05-2020,UPI,Groceries,buns,277,Expense,TXN322
07-05-2020,Mobile Wallet,Communication,DTH recharge,420,Expense,TXN323
07-05-2020,Cash,Care Essentials,moisturizer,363,Expense,TXN324
09-05-2020,Net Banking,Education,exam fees,10711,Expense,TXN325
09-05-2020,UPI,Groceries,spices,184,Expense,TXN326
10-05-2020,Mobile Wallet,Miscellaneous,legal fees,196,Expense,TXN327
10-05-2020,Mobile Wallet,Care Essentials,pet grooming,141,Expense,TXN328
10-05-2020,Credit Card,Communication,cable tv bill,687,Expense,TXN329
11-05-2020,Mobile Wallet,Groceries,biscuits,218,Expense,TXN330
11-05-2020,Mobile Wallet,Rewards,loyalty points,51,Income,TXN331
12-05-2020,Debit Card,Communication,mobile recharge,878,Expense,TXN332
12-05-2020,Cash,Communication,landline bill,259,Expense,TXN333
12-05-2020,Credit Card,Financial Dues,car loan EMI,8101,Expense,TXN334
13-05-2020,Mobile Wallet,Groceries,pickles,185,Expense,TXN335
13-05-2020,Debit Card,Utilities,electricity bill,797,Expense,TXN336
13-05-2020,Credit Card,Utilities,gas bill,611,Expense,TXN337
14-05-2020,UPI,Miscellaneous,emergency expense,203,Expense,TXN338
14-05-2020,UPI,Care Essentials,pet grooming,449,Expense,TXN339
14-05-2020,Cash,Groceries,festival snacks,346,Expense,TXN340
14-05-2020,Net Banking,Education,workshop fees,12429,Expense,TXN341
14-05-2020,Credit Card,Stocks,dividend income,694,Income,TXN342
15-05-2020,Debit Card,Utilities,waste collection,761,Expense,TXN343
15-05-2020,UPI,Groceries,cornflakes,143,Expense,TXN344
15-05-2020,UPI,Miscellaneous,deposit return,269,Income,TXN345
15-05-2020,Cash,Groceries,non-veg items,324,Expense,TXN346
15-05-2020,Credit Card,Utilities,sewer charges,982,Expense,TXN347
15-05-2020,Mobile Wallet,Communication,internet bill,286,Expense,TXN348
17-05-2020,Debit Card,Stocks,IPO allotment,1750,Income,TXN349
18-05-2020,Mobile Wallet,Domestic Help,gardener,184,Expense,TXN350
18-05-2020,Credit Card,Domestic Help,watchman tip,562,Expense,TXN351
18-05-2020,UPI,Groceries,jam,75,Expense,TXN352
19-05-2020,UPI,Groceries,popcorn,285,Expense,TXN353
19-05-2020,Debit Card,Groceries,kendriya bhandar,4950,Expense,TXN354
19-05-2020,UPI,Healthcare,sanitary pads,114,Expense,TXN355
20-05-2020,Cash,Miscellaneous,insurance claim,448,Income,TXN356
20-05-2020,Debit Card,Education,online course,6860,Expense,TXN357
20-05-2020,Debit Card,Financial Dues,gold loan EMI,8636,Expense,TXN358
22-05-2020,Debit Card,Interest,mutual fund interest,7433,Income,TXN359
22-05-2020,Credit Card,Enrichment,art supplies,813,Expense,TXN360
22-05-2020,Credit Card,Enrichment,sports equipment,875,Expense,TXN361
22-05-2020,UPI,Groceries,pickles,262,Expense,TXN362
23-05-2020,Mobile Wallet,Groceries,salt,141,Expense,TXN363
24-05-2020,Credit Card,Groceries,dry fruits,673,Expense,TXN364
24-05-2020,Credit Card,Domestic Help,cook fees,1134,Expense,TXN365
24-05-2020,Credit Card,Education,school supplies,6508,Expense,TXN366
24-05-2020,Cash,Groceries,bread,150,Expense,TXN367
24-05-2020,Mobile Wallet,Groceries,ghee,275,Expense,TXN368
25-05-2020,UPI,Rewards,credit card reward,165,Income,TXN369
26-05-2020,Credit Card,Financial Dues,retirement fund,8761,Expense,TXN370
26-05-2020,Cash,Healthcare,blood test,199,Expense,TXN371
28-05-2020,Mobile Wallet,Care Essentials,face wash,240,Expense,TXN372
28-05-2020,Mobile Wallet,Care Essentials,soap,487,Expense,TXN373
28-05-2020,Debit Card,Discretionary,clothing,653,Expense,TXN374
30-05-2020,Credit Card,Financial Dues,mutual fund SIP,4808,Expense,TXN375
01-06-2020,Bank Transfer,Rent,maintenance charges,14309,Expense,TXN376
01-06-2020,Cheque,Pension,senior benefits,42157,Income,TXN377
01-06-2020,Mobile Wallet,Groceries,pickles,131,Expense,TXN378
01-06-2020,UPI,Groceries,festival snacks,465,Expense,TXN379
02-06-2020,Mobile Wallet,Rewards,discount voucher,113,Income,TXN380
02-06-2020,Debit Card,Healthcare,vitamins,737,Expense,TXN381
02-06-2020,UPI,Miscellaneous,survey incentive,463,Income,TXN382
03-06-2020,Debit Card,Discretionary,home decor,853,Expense,TXN383
03-06-2020,Bank Transfer,Education,online course,12682,Expense,TXN384
04-06-2020,UPI,Groceries,sugar,222,Expense,TXN385
04-06-2020,Bank Transfer,Salary,overtime payment,60105,Income,TXN386
05-06-2020,Mobile Wallet,Groceries,popcorn,193,Expense,TXN387
06-06-2020,UPI,Groceries,popcorn,122,Expense,TXN388
06-06-2020,Debit Card,Education,school supplies,5192,Expense,TXN389
07-06-2020,Credit Card,Communication,cable tv bill,676,Expense,TXN390
07-06-2020,Cheque,Education,school supplies,15000,Expense,TXN391
07-06-2020,Debit Card,Communication,internet bill,933,Expense,TXN392
07-06-2020,Credit Card,Rent,rent received from tenant,6379,Income,TXN393
07-06-2020,UPI,Groceries,non-veg items,390,Expense,TXN394
08-06-2020,UPI,Care Essentials,baby care items,196,Expense,TXN395
09-06-2020,Credit Card,Enrichment,chess classes,967,Expense,TXN396
09-06-2020,Debit Card,Communication,DTH recharge,647,Expense,TXN397
09-06-2020,Debit Card,Education,college fees,1492,Expense,TXN398
09-06-2020,Credit Card,Utilities,sewer charges,626,Expense,TXN399
10-06-2020,Debit Card,Utilities,waste collection,547,Expense,TXN400
10-06-2020,Debit Card,Utilities,water bill,959,Expense,TXN401
10-06-2020,Mobile Wallet,Communication,mobile recharge,265,Expense,TXN402
10-06-2020,Debit Card,Financial Dues,car loan EMI,8105,Expense,TXN403
